n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,alpha,repetition,batch,release_gain_pp
500,15,15,15,0.03,0.03,86,146,0.584,0.598,1.4000000000000012,0.5843204339540105,0.5985987087088097,1.4278274754799258,263,19,37,0.07224334600760456,0.14068441064638784,0.5,1,3,8.250000000000002
500,19,19,19,0.038,0.038,99,146,0.588,0.594,0.6000000000000005,0.5898350896925983,0.5990321456692604,0.9197055976662094,263,22,38,0.08365019011406843,0.1444866920152091,0.6000000000000001,1,3,8.250000000000002
500,26,26,26,0.052,0.052,118,149,0.596,0.594,-0.20000000000000018,0.5956770117647986,0.5996292058948125,0.39521941300139085,263,26,40,0.09885931558935361,0.1520912547528517,0.7000000000000001,1,3,8.250000000000002
500,30,30,30,0.06,0.06,130,151,0.604,0.588,-1.6000000000000014,0.5983040982181457,0.5998725773646663,0.1568479146520585,263,29,42,0.11026615969581749,0.1596958174904943,0.8,1,3,8.250000000000002
500,36,36,36,0.072,0.072,143,148,0.602,0.594,-0.8000000000000007,0.5997994123301009,0.6001297607515033,0.03303484214023378,263,35,39,0.13307984790874525,0.1482889733840304,0.9,1,3,8.250000000000002
500,41,41,41,0.082,0.082,150,150,0.6,0.6,0.0,0.6002079759612398,0.6002079759612398,0.0,263,38,38,0.1444866920152091,0.1444866920152091,1.0,1,3,8.250000000000002
500,0,0,0,0.0,0.0,0,138,0.532,0.596,6.399999999999995,0.527863790020848,0.6007138713708134,7.28500813499654,266,0,28,0.0,0.10526315789473684,0.0,1,4,8.250000000000002
500,12,12,12,0.024,0.024,21,144,0.562,0.6,3.7999999999999923,0.5451618733379631,0.6037972367698452,5.863536343188214,266,1,30,0.0037593984962406013,0.11278195488721804,0.1,1,4,8.250000000000002
500,12,12,12,0.024,0.024,35,144,0.572,0.6,2.8000000000000025,0.5565771317335855,0.6037972367698452,4.722010503625973,266,3,30,0.011278195488721804,0.11278195488721804,0.2,1,4,8.250000000000002
500,11,11,11,0.022,0.022,55,144,0.592,0.6,0.8000000000000007,0.5697396302320809,0.6035845928479626,3.384496261588177,266,4,30,0.015037593984962405,0.11278195488721804,0.30000000000000004,1,4,8.250000000000002
500,11,11,11,0.022,0.022,67,144,0.598,0.6,0.20000000000000018,0.5790158348946539,0.6035845928479626,2.4568757953308706,266,6,30,0.022556390977443608,0.11278195488721804,0.4,1,4,8.250000000000002
500,17,17,17,0.034,0.034,94,147,0.602,0.598,-0.40000000000000036,0.5931311357562183,0.6045264336644917,1.1395297908273316,266,12,32,0.045112781954887216,0.12030075187969924,0.5,1,4,8.250000000000002
500,26,26,26,0.052,0.052,111,150,0.6,0.592,-0.8000000000000007,0.5994240231383512,0.6056293678225376,0.6205344684186431,266,20,35,0.07518796992481203,0.13157894736842105,0.6000000000000001,1,4,8.250000000000002
500,28,28,28,0.056,0.056,119,149,0.604,0.592,-1.200000000000001,0.6016408208240317,0.6057827205534643,0.41418997294325743,266,23,34,0.08646616541353383,0.12781954887218044,0.7000000000000001,1,4,8.250000000000002
500,31,31,31,0.062,0.062,135,148,0.594,0.592,-0.20000000000000018,0.604387098750164,0.6059374874752501,0.15503887250860604,266,30,34,0.11278195488721804,0.12781954887218044,0.8,1,4,8.250000000000002
