n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,baseline_true_value,operational_true_value,conditional_gain_pp,score_error_penalty_pp,robust_lower_bound_pp,alpha,scenario,repetition,batch,release_gain_pp
300,7,7,7,0.023333333333333334,0.023333333333333334,32,92,0.6433333333333333,0.6266666666666667,-1.6666666666666607,0.5887155944925492,0.6201239243570519,3.1408329864502704,180,7,30,0.03888888888888889,0.16666666666666666,0.5871921805298357,0.6180315986854655,3.083941815562985,4.605101374302948,-1.4642683878526777,0.25,well_estimated,1,3,9.800000000000008
300,17,17,17,0.056666666666666664,0.056666666666666664,52,93,0.62,0.63,1.0000000000000009,0.6058479060746765,0.6227862341749841,1.6938328100307598,180,17,29,0.09444444444444444,0.16111111111111112,0.6048837905456924,0.6217234746776096,1.6839684131917165,4.636382345897752,-2.9425495358669926,0.5,well_estimated,1,3,9.800000000000008
300,23,23,23,0.07666666666666666,0.07666666666666666,78,91,0.6466666666666666,0.6433333333333333,-0.33333333333332993,0.6215245347473786,0.6235890052708568,0.20644705234782457,180,21,26,0.11666666666666667,0.14444444444444443,0.6213179484133795,0.6231189406036628,0.18009921902832904,4.74754140458867,-4.541094352240846,0.75,well_estimated,1,3,9.800000000000008
300,28,28,28,0.09333333333333334,0.09333333333333334,91,91,0.6366666666666667,0.6366666666666667,0.0,0.6237703750000136,0.6237703750000136,0.0,180,27,27,0.15,0.15,0.6234169453495962,0.6234169453495962,0.0,4.760992775916007,-4.760992775916007,1.0,well_estimated,1,3,9.800000000000008
300,0,0,0,0.0,0.0,0,89,0.4766666666666667,0.5566666666666666,7.9999999999999964,0.5206406679911986,0.6124168983355018,9.177623034430326,143,0,19,0.0,0.13286713286713286,0.5133003714255314,0.6009211097254412,8.76207382999098,3.7781723698350893,5.3994506645952365,0.0,well_estimated,2,0,7.15
300,9,9,9,0.03,0.03,27,94,0.53,0.5566666666666666,2.6666666666666616,0.5636625741429988,0.6189553807006799,5.52928065576811,143,1,21,0.006993006993006993,0.14685314685314685,0.5552154309734895,0.6085564510355587,5.33410200620692,3.907281638444278,1.621999017323832,0.25,well_estimated,2,0,7.15
300,16,16,16,0.05333333333333334,0.05333333333333334,62,98,0.5533333333333333,0.5633333333333334,1.0000000000000009,0.6076248222032338,0.6216658716579995,1.4041049454765697,143,10,22,0.06993006993006994,0.15384615384615385,0.5973352309939263,0.6109310653246013,1.3595834330675016,4.0063951390809605,-2.6022901936043907,0.5,well_estimated,2,0,7.15
300,20,20,20,0.06666666666666667,0.06666666666666667,81,98,0.56,0.57,0.9999999999999898,0.6190786294444225,0.6226282106109333,0.3549581166510829,143,16,20,0.11188811188811189,0.13986013986013987,0.608674001638128,0.611995534426756,0.3321532788628012,4.06808068542808,-3.713122568776997,0.75,well_estimated,2,0,7.15
300,34,34,34,0.11333333333333333,0.11333333333333333,109,109,0.58,0.58,0.0,0.6237340929411118,0.6237340929411118,0.0,143,22,22,0.15384615384615385,0.15384615384615385,0.6125996247251193,0.6125996247251193,0.0,4.136055468727941,-4.136055468727941,1.0,well_estimated,2,0,7.15
300,0,0,0,0.0,0.0,0,75,0.57,0.6233333333333333,5.333333333333334,0.5531744064463813,0.6182150895260492,6.504068307966793,171,0,22,0.0,0.1286549707602339,0.5450615292736921,0.6088303519610431,6.376882268735096,3.652215113911069,2.8518531940557237,0.0,well_estimated,2,1,7.15
